Employee ID,First Name,Last Name,Gender,Age,Department,Job Title,Location,Hire Date,Salary,Education Level,Years of Service
EMP10000,David,Brown,Non-binary,58,Logistics,Warehouse Supervisor,New Barbaramouth,2020-07-24,142045.26,High School,1
EMP10001,Sarah,Davis,Male,42,Legal,Corporate Lawyer,New Carltown,2019-08-03,139261.58,High School,6
EMP10002,Mary,Roy,Non-binary,31,Operations,Process Analyst,Kimberlyside,2014-01-18,52245.52,PhD,3
EMP10003,Bradley,Black,Male,55,Finance,Auditor,Delgadomouth,2018-08-24,107922.19,High School,3
EMP10004,Daniel,Marshall,Female,58,Finance,Auditor,West Markfurt,2018-08-19,90354.25,High School,3
EMP10005,Amy,Norman,Female,26,Legal,Legal Assistant,South Terrifurt,2009-04-03,128140.35,Master's,10
EMP10006,Andrew,Gilbert,Male,23,Sales,Business Development Officer,Diazberg,2013-07-20,40157.23,Master's,12
EMP10007,John,Anderson,Male,56,Sales,Sales Executive,Brooksbury,2019-05-11,136429.74,High School,13
EMP10008,James,Colon,Non-binary,50,Finance,Financial Analyst,Bartletttown,2007-12-14,97472.52,Bachelor's,17
EMP10009,Tamara,Thomas,Non-binary,31,Customer Service,Customer Service Rep,New Jamie,2009-07-05,137776.91,High School,18
EMP10010,Nathan,Gonzales,Male,44,Marketing,Content Strategist,Walkerville,2019-07-29,96917.73,High School,19
EMP10011,Michelle,Greene,Non-binary,53,Operations,Project Coordinator,Lawrenceberg,2007-07-21,61638.33,Bachelor's,7
EMP10012,Steven,Garner,Female,40,Finance,Payroll Specialist,Wilsonborough,2020-12-06,44229.15,High School,4
EMP10013,Suzanne,Goodman,Male,37,Legal,Corporate Lawyer,East Teresa,2015-07-31,89785.08,High School,19
EMP10014,Bryan,Fisher,Non-binary,25,R&D,Lab Technician,North Georgemouth,2009-07-29,30643.94,Bachelor's,20
EMP10015,Mark,Thomas,Non-binary,45,HR,Training Coordinator,North Christopherbury,2017-04-18,66236.14,High School,2
EMP10016,Bonnie,Morgan,Non-binary,29,Operations,Operations Manager,Williamland,2015-02-17,104457.17,PhD,18
EMP10017,Lisa,Sanchez,Non-binary,55,Finance,Financial Analyst,South Trevorberg,2005-10-22,123635.2,PhD,17
EMP10018,Ashley,Allen,Male,57,Legal,Corporate Lawyer,North Russellburgh,2016-09-17,69965.27,Associate's,16
EMP10019,Richard,Moreno,Female,59,R&D,Research Scientist,Lake Kimberlybury,2011-08-03,67296.71,Bachelor's,12
EMP10020,Cindy,Woods,Female,32,Operations,Project Coordinator,North Judithburgh,2006-04-07,114424.79,Associate's,4
EMP10021,John,Jordan,Female,41,Legal,Paralegal,Ramseyberg,2015-04-18,121986.51,Associate's,2
EMP10022,Adam,Reed,Non-binary,35,IT,Data Analyst,North Stephen,2017-08-18,31358.73,Master's,12
EMP10023,Kayla,Allen,Non-binary,41,Logistics,Inventory Manager,South Kimberly,2022-02-10,113850.75,Master's,15
EMP10024,Lisa,Scott,Non-binary,33,Sales,Account Manager,South Matthewbury,2015-05-08,75043.71,Master's,20
EMP10025,Christine,Lewis,Female,48,Operations,Process Analyst,Hughesburgh,2006-06-14,122579.12,Bachelor's,0
EMP10026,Ronald,Coleman,Male,22,Finance,Auditor,New Shawn,2024-12-29,53703.13,Master's,5
EMP10027,Rachel,Torres,Female,29,Sales,Sales Representative,South Josephfurt,2021-09-14,124747.83,Associate's,20
EMP10028,Denise,Cardenas,Female,41,HR,HR Manager,North Tamara,2018-10-20,130500.64,Master's,20
EMP10029,Stephanie,Griffin,Non-binary,40,Customer Service,Support Specialist,Brittanystad,2014-09-29,84920.73,Master's,9
EMP10030,Catherine,Wilkins,Female,27,Marketing,Content Strategist,Cassandramouth,2013-11-24,144550.07,High School,17
EMP10031,Wendy,Gomez,Non-binary,65,Customer Service,Client Relations Officer,New Kristenbury,2005-11-20,135654.42,Associate's,16
EMP10032,James,Murray,Male,32,HR,Recruiter,Johnsonchester,2015-08-15,95756.76,Master's,5
EMP10033,Ashley,Gardner,Female,32,Finance,Auditor,North Anthony,2017-11-21,144836.3,High School,3
EMP10034,Chase,Andrade,Male,38,Finance,Financial Analyst,East Logan,2016-05-12,45946.25,Master's,9
EMP10035,Matthew,Anderson,Female,48,Logistics,Warehouse Supervisor,Sheilaport,2025-02-26,87715.44,Associate's,20
EMP10036,Sarah,Hogan,Male,56,Logistics,Warehouse Supervisor,Williamsburgh,2014-07-01,51406.82,Master's,7
EMP10037,Jacqueline,Vaughn,Male,37,IT,Data Analyst,Port Jason,2019-10-23,50778.87,Master's,8
EMP10038,Douglas,Gonzales,Non-binary,38,HR,HR Assistant,New Margaretfurt,2018-05-10,75499.13,PhD,1
EMP10039,David,Young,Non-binary,28,Operations,Quality Assurance Specialist,Davidmouth,2016-08-04,44041.4,Associate's,9
EMP10040,Laurie,Schmidt,Male,39,Logistics,Logistics Coordinator,Rickyville,2015-02-28,69015.4,High School,12
EMP10041,Ann,Hernandez,Male,56,Legal,Legal Assistant,Jacksonstad,2019-01-09,112753.61,PhD,7
EMP10042,Cynthia,Tanner,Non-binary,39,IT,System Administrator,Port Tyrone,2018-05-21,111719.49,High School,6
EMP10043,Michelle,Young,Non-binary,24,Sales,Account Manager,Karenshire,2006-07-10,146281.31,High School,18
EMP10044,Amanda,Bruce,Female,24,Marketing,Social Media Manager,Port Brandy,2019-01-16,129836.97,High School,16
EMP10045,Chad,Gentry,Non-binary,56,Finance,Auditor,South Tracey,2025-03-17,79316.01,High School,20
EMP10046,Thomas,Tyler,Female,38,HR,Training Coordinator,West Amymouth,2007-08-23,100491.29,PhD,7
EMP10047,Taylor,Howard,Male,57,Sales,Account Manager,Garytown,2008-08-14,58102.22,PhD,14
EMP10048,James,Taylor,Female,49,Marketing,Content Strategist,South Monicaberg,2019-08-06,68941.08,Bachelor's,8
EMP10049,Katrina,Cooper,Male,61,Legal,Corporate Lawyer,Garciamouth,2007-08-23,100621.24,Associate's,12
EMP10050,Charles,Simpson,Male,41,Finance,Payroll Specialist,North Andrewbury,2010-12-31,140942.64,PhD,17
EMP10051,William,Brown,Male,49,Legal,Legal Assistant,Stevefurt,2025-06-10,83194.77,PhD,12
EMP10052,Jessica,Jones,Non-binary,55,HR,Recruiter,South Michelleport,2006-05-11,92088.61,Associate's,6
EMP10053,Michael,Harris,Male,63,HR,Recruiter,Lake Ronaldtown,2005-10-08,116225.85,Bachelor's,6
EMP10054,Dana,Thomas,Female,34,HR,HR Assistant,West Matthewville,2022-01-14,59676.75,PhD,7
EMP10055,Sydney,Wilson,Non-binary,26,Sales,Business Development Officer,Taylorberg,2007-07-22,61744.72,Bachelor's,20
EMP10056,Samantha,Miller,Male,45,IT,System Administrator,West Gregory,2016-07-09,109573.2,Master's,13
EMP10057,Heather,Newton,Male,65,Marketing,Content Strategist,New Samuel,2017-09-12,147699.33,Associate's,11
EMP10058,Meredith,Wu,Non-binary,59,IT,Data Analyst,Schmidthaven,2013-09-19,81236.07,PhD,15
EMP10059,Gregory,Peterson,Female,47,Finance,Financial Analyst,West Eric,2007-11-19,118248.14,Bachelor's,20
EMP10060,Jeremy,Larson,Female,27,IT,IT Support Specialist,Burkeview,2012-09-29,30471.51,Associate's,15
EMP10061,Michelle,Hall,Female,54,Logistics,Logistics Coordinator,New Tanya,2011-11-08,114533.9,Associate's,8
EMP10062,David,Cardenas,Male,62,R&D,Innovation Manager,Carterchester,2022-07-12,134606.97,Associate's,14
EMP10063,Matthew,Wolfe,Non-binary,35,Marketing,Marketing Coordinator,Davidfurt,2009-06-13,53243.78,High School,7
EMP10064,Joel,Green,Male,60,Operations,Process Analyst,East Kristen,2007-08-28,48625.26,Associate's,9
EMP10065,Lisa,Serrano,Female,48,IT,Software Engineer,West Ronald,2014-12-03,71111.36,PhD,11
EMP10066,Lynn,Little,Non-binary,32,Sales,Sales Executive,Eatonton,2009-10-31,38912.67,Associate's,0
EMP10067,Lisa,Martinez,Male,62,R&D,Product Developer,West Tara,2023-01-03,118666.6,High School,10
EMP10068,Lori,Taylor,Male,38,HR,HR Manager,Williammouth,2018-04-03,66116.76,Master's,15
EMP10069,Sheila,Hall,Non-binary,41,HR,HR Manager,Ronaldtown,2017-06-02,113452.41,PhD,12
EMP10070,Logan,Blevins,Female,40,Marketing,Marketing Coordinator,North Cynthia,2021-02-04,103787.97,High School,15
EMP10071,James,Aguilar,Non-binary,56,HR,Training Coordinator,Lake Mary,2016-03-08,43690.24,Bachelor's,3
EMP10072,Jenna,Chang,Female,28,HR,Training Coordinator,South Davidstad,2011-06-30,31384.69,Associate's,5
EMP10073,Charles,Wright,Non-binary,29,Sales,Account Manager,Port Deborahland,2021-09-15,42038.5,PhD,4
EMP10074,Zachary,Johnson,Female,39,Finance,Payroll Specialist,North Williamfort,2013-11-05,143474.22,Bachelor's,3
EMP10075,William,Moore,Male,27,Sales,Account Manager,Lake Lorifort,2020-07-16,137254.84,Master's,8
EMP10076,Kevin,Pitts,Non-binary,32,Legal,Corporate Lawyer,Youngside,2006-06-26,83222.66,Master's,18
EMP10077,Joseph,Rodriguez,Non-binary,59,Operations,Operations Manager,Whiteville,2017-04-05,76272.21,Bachelor's,13
EMP10078,Melanie,Gomez,Non-binary,65,Operations,Operations Manager,Paulmouth,2006-10-13,105858.88,Master's,13
EMP10079,Sarah,Farrell,Non-binary,63,Sales,Sales Representative,New Whitneyshire,2017-11-22,33723.84,High School,0
EMP10080,Colleen,Smith,Female,47,Finance,Payroll Specialist,West Angela,2016-01-17,103785.63,Bachelor's,18
EMP10081,Justin,Walker,Female,61,Finance,Auditor,Lake Allison,2006-08-16,99156.72,PhD,8
EMP10082,Nichole,Ramsey,Male,56,Sales,Sales Representative,Torreshaven,2007-07-28,118129.52,High School,3
